2_7 (4860.56,210.38) 19246.200000000423
5_22 (4153.82,2734.11) 19253.30000000032
2_5 (3657.99,4314.09) 19255.100000000293
4_15 (3495.74,4491.82) 19256.900000000267
1_0 (6859.88,2452.89) 19257.700000000255
4_16 (3641.18,3674.04) 19259.800000000225
1_3 (1598.88,7057.55) 19260.000000000222
1_2 (5756.92,2599.65) 19266.500000000127
2_7 (4465.96,1037.48) 19306.19999999955
3_10 (3238.10,1528.66) 19312.99999999945
4_15 (3657.99,4314.09) 19313.299999999446
5_22 (4300.63,3033.14) 19313.299999999446
5_23 (234.82,3832.67) 19313.299999999446
1_1 (2812.77,4128.31) 19314.799999999424
2_5 (3371.72,3925.99) 19317.09999999939
2_6 (5553.13,7268.36) 19317.09999999939
1_0 (6411.20,2547.90) 19317.699999999382
4_18 (4989.74,5088.18) 19319.89999999935
1_2 (6107.17,2613.22) 19325.29999999927
2_7 (4494.31,1621.12) 19366.199999998677
5_22 (4350.78,3397.49) 19373.299999998573
5_23 (549.80,3609.57) 19373.299999998573
1_1 (3263.48,3909.87) 19374.29999999856
4_15 (3371.72,3925.99) 19375.399999998543
2_6 (5416.98,6831.90) 19376.799999998522
4_16 (3359.95,3906.48) 19379.79999999848
4_18 (5038.05,4689.47) 19379.899999998477
2_5 (3602.20,3696.94) 19430.899999997735
3_10 (3636.20,2097.02) 19432.999999997704
1_0 (6136.39,2608.56) 19437.699999997636
4_16 (3628.98,4282.28) 19439.799999997605
1_2 (6389.66,2552.14) 19448.29999999748
2_7 (4464.10,2195.85) 19486.19999999693
4_15 (3602.20,3696.94) 19489.299999996885
2_5 (3925.44,3512.44) 19492.0
3_10 (3641.30,2359.58) 19492.99999999683
5_22 (4507.38,3658.35) 19493.299999996827
5_23 (1129.56,3294.42) 19493.299999996827
1_1 (3602.20,3696.94) 19494.39999999681
1_0 (5776.46,2604.32) 19497.699999996763
2_6 (5272.30,6401.38) 19498.099999996757
4_16 (3513.04,4476.55) 19499.799999996732
4_18 (4997.17,4236.05) 19499.89999999673
1_2 (6835.93,2453.74) 19508.09999999661
2_6 (5190.05,6147.73) 19547.29999999604
4_15 (3925.44,3512.44) 19550.399999995996
2_5 (4291.07,3396.22) 19551.49999999598
3_10 (3893.79,2482.58) 19553.0
5_22 (4777.56,3677.43) 19553.299999995954
1_1 (3925.44,3512.44) 19555.499999995922
1_0 (5298.58,2698.05) 19557.69999999589
4_16 (3121.21,4714.92) 19559.79999999586
1_2 (7200.16,2413.02) 19566.299999995765
2_7 (4496.12,2675.57) 19606.199999995184
5_23 (1639.19,3117.55) 19613.29999999508
2_6 (5044.91,5635.35) 19617.599999995018
1_0 (4970.82,2860.51) 19617.699999995017
4_18 (4848.46,3616.35) 19619.899999994985
1_2 (7538.78,2348.97) 19628.299999994862
4_15 (4291.07,3396.22) 19669.299999994266
3_10 (4496.12,2675.57) 19673.0
5_23 (2134.52,2910.56) 19673.299999994208
1_1 (4291.07,3396.22) 19674.39999999419
4_16 (3244.40,4943.12) 19679.799999994113
2_5 (4623.36,3288.91) 19680.299999994106
2_7 (4540.94,2978.42) 19726.199999993438
2_6 (4958.60,5307.90) 19734.599999993316
1_3 (1813.84,6562.13) 19737.09999999328
1_0 (4903.79,3210.44) 19737.69999999327
4_16 (3561.60,5234.09) 19739.79999999324
4_18 (4668.90,3355.50) 19739.89999999324
